Date,PG,MSFT,F,GE
1995-01-03,6.320251941680908,2.4135372638702393,4.186858177185059,2.7292304039001465
1995-01-04,6.269588947296143,2.431082010269165,4.299506664276123,2.7292304039001465
1995-01-05,6.18092679977417,2.390981674194336,4.261956214904785,2.7359189987182617
1995-01-06,6.193592548370361,2.431082010269165,4.261956214904785,2.7225401401519775
1995-01-09,6.168259143829346,2.4160447120666504,4.337057113647461,2.6957831382751465
1995-01-10,6.244252681732178,2.446119785308838,4.261956214904785,2.715851306915283
1995-01-11,6.2315897941589355,2.4611575603485107,4.261956214904785,2.7559871673583984
1995-01-12,6.294918537139893,2.456144332885742,4.224404335021973,2.7492971420288086
1995-01-13,6.478914737701416,2.5162947177886963,4.299506664276123,2.7827439308166504
1995-01-16,6.530749797821045,2.5714335441589355,4.355831623077393,2.816190242767334
1995-01-17,6.556666374206543,2.5914835929870605,4.318282127380371,2.7827439308166504
1995-01-18,6.414133548736572,2.6090266704559326,4.243180751800537,2.7961227893829346
1995-01-19,6.388213157653809,2.546370506286621,4.130528450012207,2.7292304039001465
1995-01-20,6.362298488616943,2.471182346343994,3.9615540504455566,2.7292304039001465
1995-01-23,6.427088260650635,2.518800973892212,3.942779302597046,2.689093589782715
1995-01-24,6.414133548736572,2.486846446990967,3.9063706398010254,2.6957831382751465
1995-01-25,6.504836082458496,2.4761950969696045,3.9632599353790283,2.715851306915283
1995-01-26,6.530749797821045,2.4010064601898193,3.8494811058044434,2.7292304039001465
1995-01-27,6.712160110473633,2.4010064601898193,3.8494811058044434,2.7024741172790527
1995-01-30,6.815822601318359,2.3659188747406006,3.754667282104492,2.7359189987182617
1995-01-31,6.751034736633301,2.380955696105957,3.830518960952759,2.7559871673583984
1995-02-01,6.621453762054443,2.370931386947632,3.811556339263916,2.7359189987182617
1995-02-02,6.673286437988281,2.3659188747406006,3.887407064437866,2.742607355117798
1995-02-03,6.73807430267334,2.41103196144104,3.9063706398010254,2.789433002471924
1995-02-06,6.893571376800537,2.441107749938965,3.887407064437866,2.7827439308166504
1995-02-07,6.880614757537842,2.446119785308838,3.8494811058044434,2.7827439308166504
1995-02-08,6.802865028381348,2.4812064170837402,3.868443727493286,2.7827439308166504
1995-02-09,6.789907455444336,2.4812064170837402,3.830518960952759,2.7961227893829346
1995-02-10,6.776949405670166,2.486219882965088,3.925334930419922,2.789433002471924
1995-02-13,6.828782081604004,2.486219882965088,3.9063706398010254,2.816190242767334
1995-02-14,6.763993740081787,2.4812064170837402,3.9632599353790283,2.816190242767334
1995-02-15,6.763993740081787,2.4360945224761963,3.9632599353790283,2.869704246520996
1995-02-16,6.776949405670166,2.441107749938965,3.977480888366699,2.8964614868164062
1995-02-17,6.815822601318359,2.4210569858551025,3.9822216033935547,2.869704246520996
1995-02-21,6.867656230926514,2.39599347114563,3.9822216033935547,2.8830833435058594
1995-02-22,6.815822601318359,2.4661693572998047,4.0391106605529785,2.949977159500122
1995-02-23,6.893571376800537,2.471182346343994,4.0391106605529785,2.9633543491363525
1995-02-24,6.919485092163086,2.456144332885742,4.058074951171875,2.929908275604248
1995-02-27,6.880614757537842,2.4761950969696045,3.9442942142486572,2.869704246520996
1995-02-28,6.893571376800537,2.526320219039917,3.9632599353790283,2.929908275604248
1995-03-01,6.802865028381348,2.5363450050354004,3.887407064437866,3.0383718013763428
1995-03-02,6.8546977043151855,2.5563955307006836,3.8494811058044434,2.9822347164154053
1995-03-03,6.8546977043151855,2.5513830184936523,3.887407064437866,2.975216865539551
1995-03-06,6.893571376800537,2.5789520740509033,3.868443727493286,2.961184024810791
1995-03-07,6.776949405670166,2.620305061340332,3.868443727493286,2.954167366027832
1995-03-08,6.763993740081787,2.7468719482421875,3.8494811058044434,2.9892513751983643
1995-03-09,6.841737270355225,2.721809148788452,3.9063706398010254,2.9892513751983643
1995-03-10,6.97131872177124,2.7493786811828613,4.0391106605529785,3.0734570026397705
1995-03-13,6.97131872177124,2.766921281814575,4.077037811279297,3.0664405822753906
1995-03-14,7.113851070404053,2.8771986961364746,3.9822216033935547,3.087491035461426
1995-03-15,7.139770030975342,2.8270726203918457,3.9632599353790283,3.0173215866088867
1995-03-16,7.100896835327148,2.8120357990264893,3.9442942142486572,3.0804741382598877
1995-03-17,7.191601753234863,2.804516553878784,3.9063706398010254,3.045389175415039
1995-03-20,7.204559803009033,2.852134943008423,3.8494811058044434,3.0383718013763428
1995-03-21,7.191601753234863,2.824566125869751,3.8494811058044434,3.052406072616577
1995-03-22,7.191601753234863,2.844616651535034,3.811556339263916,3.0664405822753906
1995-03-23,7.15272855758667,2.9172990322113037,3.811556339263916,3.059422254562378
1995-03-24,7.256389141082764,2.9624106884002686,3.868443727493286,3.087491035461426
1995-03-27,7.15272855758667,2.927323341369629,3.9442942142486572,3.0664405822753906
1995-03-28,7.113851070404053,2.9523863792419434,3.9442942142486572,3.0804741382598877
1995-03-29,6.997236728668213,2.897247552871704,4.0391106605529785,3.087491035461426
1995-03-30,6.9583587646484375,2.892235517501831,4.209777355194092,3.0734570026397705
1995-03-31,6.867656230926514,2.852134943008423,4.077037811279297,3.031355142593384
1995-04-03,6.841737270355225,2.8070218563079834,4.114963531494141,3.0664405822753906
1995-04-04,7.010190486907959,2.8020095825195312,4.0391106605529785,3.0804741382598877
1995-04-05,7.023148059844971,2.8320846557617188,4.020148277282715,3.0804741382598877
1995-04-06,7.113851070404053,2.8070218563079834,4.114963531494141,3.1015257835388184
1995-04-07,7.1268110275268555,2.791985273361206,4.095999240875244,3.0804741382598877
