Date,^GSPC,^IXIC,^GDAXI,^FTSE
2009-01-23,831.9500122070312,1477.2900390625,4178.93994140625,4052.5
2009-01-26,836.5700073242188,1489.4599609375,4326.8701171875,4209.0
2009-01-27,845.7100219726562,1504.9000244140625,4323.419921875,4194.39990234375
2009-01-28,874.0900268554688,1558.3399658203125,4518.72021484375,4295.2001953125
2009-01-29,845.1400146484375,1507.8399658203125,4428.10986328125,4190.10009765625
2009-01-30,825.8800048828125,1476.4200439453125,4338.35009765625,4149.60009765625
2009-02-02,825.4400024414062,1494.4300537109375,4271.0400390625,4077.800048828125
2009-02-03,838.510009765625,1516.300048828125,4374.9599609375,4164.5
2009-02-04,832.22998046875,1515.050048828125,4492.7900390625,4228.60009765625
2009-02-05,845.8499755859375,1546.239990234375,4510.490234375,4228.89990234375
2009-02-06,868.5999755859375,1591.7099609375,4644.6298828125,4291.89990234375
2009-02-09,869.8900146484375,1591.56005859375,4666.81982421875,4307.60009765625
2009-02-10,827.1599731445312,1524.72998046875,4505.5400390625,4213.10009765625
2009-02-11,833.739990234375,1530.5,4530.08984375,4234.2998046875
2009-02-12,835.1900024414062,1541.7099609375,4407.56005859375,4202.2001953125
2009-02-13,826.8400268554688,1534.3599853515625,4413.39013671875,4189.60009765625
2009-02-17,789.1699829101562,1470.6600341796875,4216.60009765625,4034.10009765625
2009-02-18,788.4199829101562,1467.969970703125,4204.9599609375,4006.800048828125
2009-02-19,778.9400024414062,1442.8199462890625,4215.2099609375,4018.39990234375
2009-02-20,770.0499877929688,1441.22998046875,4014.659912109375,3889.10009765625
2009-02-23,743.3300170898438,1387.719970703125,3936.449951171875,3850.699951171875
2009-02-24,773.1400146484375,1441.8299560546875,3895.75,3816.39990234375
2009-02-25,764.9000244140625,1425.4300537109375,3846.2099609375,3849.0
2009-02-26,752.8300170898438,1391.469970703125,3942.6201171875,3915.60009765625
2009-02-27,735.0900268554688,1377.8399658203125,3843.739990234375,3830.10009765625
