Date,PG,^GSPC,^DJI
1997-07-09,20.872417449951172,907.5399780273438,7842.39990234375
1997-07-10,20.89865493774414,913.780029296875,7886.7998046875
1997-07-11,20.828706741333008,916.6799926757812,7921.7998046875
1997-07-14,20.75000762939453,918.3800048828125,7923.0
1997-07-15,21.3446102142334,925.760009765625,7975.7001953125
1997-07-16,21.547090530395508,936.5900268554688,8038.89990234375
1997-07-17,21.485681533813477,931.6099853515625,8020.7998046875
1997-07-18,20.88033103942871,915.2999877929688,7890.5
1997-07-21,20.98561668395996,912.9400024414062,7906.7001953125
1997-07-22,21.318992614746094,933.97998046875,8061.60009765625
1997-07-23,21.3365421295166,936.5599975585938,8088.35986328125
1997-07-24,21.547090530395508,940.2999877929688,8116.89990234375
1997-07-25,21.52077865600586,938.7899780273438,8113.39990234375
1997-07-28,21.231258392333984,936.4500122070312,8121.10009765625
1997-07-29,21.10843276977539,942.2899780273438,8174.5
1997-07-30,21.494455337524414,952.2899780273438,8254.900390625
1997-07-31,21.354084014892578,954.3099975585938,8222.599609375
1997-08-01,21.24880599975586,947.1400146484375,8194.0
1997-08-04,20.950515747070312,950.2999877929688,8198.5
1997-08-05,20.775054931640625,952.3699951171875,8187.5
1997-08-06,20.88033103942871,960.3200073242188,8259.2998046875
1997-08-07,20.582042694091797,951.1900024414062,8188.0
1997-08-08,20.19601821899414,933.5399780273438,8031.2001953125
1997-08-11,20.57326316833496,937.0,8062.10009765625
1997-08-12,19.99423599243164,926.530029296875,7960.7998046875
1997-08-13,19.89772605895996,922.02001953125,7928.2998046875
1997-08-14,20.274974822998047,924.77001953125,7942.0
1997-08-15,19.169546127319336,900.8099975585938,7694.7001953125
1997-08-18,18.96776580810547,912.489990234375,7803.35986328125
1997-08-19,19.49415397644043,926.010009765625,7918.10009765625
1997-08-20,19.79244041442871,939.3499755859375,8021.2001953125
1997-08-21,19.353782653808594,925.0499877929688,7894.0
1997-08-22,19.4415225982666,923.5399780273438,7887.89990234375
1997-08-25,19.12568473815918,920.1599731445312,7859.60009765625
1997-08-26,19.230960845947266,913.02001953125,7782.2001953125
1997-08-27,19.12568473815918,913.7000122070312,7787.2998046875
1997-08-28,18.93267250061035,903.6699829101562,7694.39990234375
1997-08-29,18.68701934814453,899.469970703125,7622.39990234375
1997-09-02,19.371337890625,927.5800170898438,7879.7998046875
1997-09-03,19.248506546020508,927.8599853515625,7894.60009765625
1997-09-04,19.15200424194336,930.8699951171875,7867.2001953125
1997-09-05,18.66947364807129,929.0499877929688,7822.39990234375
1997-09-08,18.7571964263916,931.2000122070312,7835.2001953125
1997-09-09,18.78352165222168,933.6199951171875,7851.89990234375
1997-09-10,18.16939926147461,919.030029296875,7719.2998046875
1997-09-11,18.45890998840332,912.5900268554688,7661.0
1997-09-12,18.739662170410156,923.9099731445312,7743.0
1997-09-15,19.00286102294922,919.77001953125,7721.10009765625
1997-09-16,20.055646896362305,945.6400146484375,7895.89990234375
1997-09-17,20.073192596435547,943.0,7886.39990234375
1997-09-18,19.96790885925293,947.2899780273438,7922.7001953125
1997-09-19,20.038095474243164,950.510009765625,7917.2998046875
1997-09-22,19.932815551757812,955.4299926757812,7996.7998046875
1997-09-23,19.79244041442871,951.9299926757812,7970.10009765625
1997-09-24,19.353782653808594,944.47998046875,7906.7001953125
1997-09-25,19.230960845947266,937.9099731445312,7848.0
1997-09-26,19.476604461669922,945.219970703125,7922.2001953125
1997-09-29,19.722261428833008,953.3400268554688,7991.39990234375
1997-09-30,19.388872146606445,947.280029296875,7945.2998046875
1997-10-01,19.845088958740234,955.4099731445312,8015.5
1997-10-02,20.02055549621582,960.4600219726562,8027.5
1997-10-03,20.003013610839844,965.030029296875,8038.60009765625
1997-10-06,20.213563919067383,972.6900024414062,8100.2001953125
1997-10-07,20.739959716796875,983.1199951171875,8178.2998046875
1997-10-08,20.441669464111328,973.8400268554688,8095.10009765625
1997-10-09,20.371477127075195,970.6199951171875,8061.39990234375
1997-10-10,20.38903045654297,966.97998046875,8045.2001953125
1997-10-13,20.424118041992188,968.0999755859375,8072.2001953125
1997-10-14,20.231115341186523,970.280029296875,8096.2998046875
1997-10-15,20.19601821899414,965.719970703125,8058.0
1997-10-16,19.880176544189453,955.25,7938.89990234375
1997-10-17,19.774898529052734,944.1599731445312,7847.0
1997-10-20,20.160924911499023,955.6099853515625,7921.39990234375
1997-10-21,20.49431610107422,972.280029296875,8060.39990234375
1997-10-22,20.336400985717773,968.489990234375,8034.60009765625
1997-10-23,19.931442260742188,950.6900024414062,7847.7998046875
1997-10-24,19.91382598876953,941.6400146484375,7715.39990234375
1997-10-27,18.505247116088867,876.989990234375,7161.2001953125
1997-10-28,19.755369186401367,921.8499755859375,7498.2998046875
1997-10-29,19.191940307617188,919.1599731445312,7506.7001953125
1997-10-30,18.980636596679688,903.6799926757812,7381.7001953125
1997-10-31,19.156715393066406,914.6199951171875,7442.10009765625
1997-11-03,19.984254837036133,938.989990234375,7674.39990234375
1997-11-04,20.21316146850586,940.760009765625,7689.10009765625
1997-11-05,20.354013442993164,942.760009765625,7692.60009765625
1997-11-06,20.177932739257812,938.030029296875,7683.2001953125
1997-11-07,19.984254837036133,927.510009765625,7581.2998046875
1997-11-10,19.984254837036133,921.1300048828125,7552.60009765625
1997-11-11,20.37161636352539,923.780029296875,7558.7001953125
1997-11-12,20.195552825927734,905.9600219726562,7401.2998046875
1997-11-13,20.618118286132812,916.6599731445312,7487.7998046875
1997-11-14,21.093517303466797,928.3499755859375,7572.5
1997-11-17,20.847013473510742,946.2000122070312,7698.2001953125
1997-11-18,20.635725021362305,938.22998046875,7650.7998046875
1997-11-19,21.005491256713867,944.5900268554688,7724.7001953125
1997-11-20,21.428062438964844,958.97998046875,7826.60009765625
1997-11-21,21.62173843383789,963.0900268554688,7881.06982421875
1997-11-24,21.56891441345215,946.6699829101562,7767.89990234375
1997-11-25,21.903451919555664,950.8200073242188,7809.0
1997-11-26,21.322402954101562,951.6400146484375,7794.7998046875
1997-11-28,21.46327018737793,955.4000244140625,7823.10009765625
1997-12-01,21.956270217895508,974.77001953125,8013.10009765625
1997-12-02,22.27320098876953,971.6799926757812,8018.7998046875
1997-12-03,22.431655883789062,976.77001953125,8032.0
1997-12-04,22.32602882385254,973.0999755859375,8050.2001953125
1997-12-05,22.713396072387695,983.7899780273438,8149.10009765625
1997-12-08,22.590139389038086,982.3699951171875,8110.7998046875
1997-12-09,22.51970100402832,975.780029296875,8049.7001953125
1997-12-10,22.431655883789062,969.7899780273438,7978.7998046875
1997-12-11,22.53731346130371,954.9400024414062,7849.0
1997-12-12,22.713396072387695,953.3900146484375,7838.2998046875
1997-12-15,22.748598098754883,963.3900146484375,7922.60009765625
1997-12-16,23.488121032714844,968.0399780273438,7976.2998046875
1997-12-17,22.907073974609375,965.5399780273438,7957.39990234375
1997-12-18,22.36124038696289,955.2999877929688,7846.5
1997-12-19,22.502103805541992,946.780029296875,7756.2998046875
1997-12-22,22.502103805541992,953.7000122070312,7819.2998046875
1997-12-23,21.903451919555664,939.1300048828125,7691.7998046875
1997-12-24,21.991491317749023,932.7000122070312,7660.1298828125
1997-12-26,21.868234634399414,936.4600219726562,7679.2998046875
1997-12-29,22.484487533569336,953.3499755859375,7792.39990234375
1997-12-30,22.748598098754883,970.8400268554688,7916.0
1997-12-31,22.484487533569336,970.4299926757812,7908.2998046875
1998-01-02,22.801424026489258,975.0399780273438,7965.0
1998-01-05,23.259212493896484,977.0700073242188,7979.0
1998-01-06,23.18878173828125,966.5800170898438,7906.25
1998-01-07,22.942279815673828,964.0,7902.2998046875
1998-01-08,22.678171157836914,956.0499877929688,7802.60009765625
1998-01-09,22.220382690429688,927.6900024414062,7580.39990234375
1998-01-12,23.18878173828125,939.2100219726562,7647.2001953125
1998-01-13,22.85423469543457,952.1199951171875,7732.10009765625
1998-01-14,22.69577407836914,957.9400024414062,7784.7001953125
1998-01-15,22.51970100402832,950.72998046875,7691.7998046875
1998-01-16,22.343637466430664,961.510009765625,7753.5
1998-01-20,22.748598098754883,978.5999755859375,7873.10009765625
1998-01-21,22.890464782714844,970.8099975585938,7794.39990234375
1998-01-22,22.572538375854492,963.0399780273438,7730.89990234375
1998-01-23,22.148651123046875,957.5900268554688,7700.7001953125
1998-01-26,22.183963775634766,956.9500122070312,7712.93994140625
1998-01-27,22.855133056640625,969.02001953125,7815.080078125
1998-01-28,22.395915985107422,977.4600219726562,7915.47021484375
1998-01-29,22.04267120361328,985.489990234375,7973.02001953125
1998-01-30,22.148651123046875,980.280029296875,7906.5
1998-02-02,22.466581344604492,1001.27001953125,8107.77978515625
1998-02-03,22.978778839111328,1006.0,8160.35009765625
1998-02-04,22.71384620666504,1006.9000244140625,8129.7099609375
1998-02-05,22.501903533935547,1003.5399780273438,8117.25
1998-02-06,23.173065185546875,1012.4600219726562,8189.490234375
1998-02-09,23.031768798828125,1010.739990234375,8180.52001953125
1998-02-10,23.402681350708008,1019.010009765625,8295.6103515625
1998-02-11,23.66761016845703,1020.010009765625,8314.5498046875
1998-02-12,23.72060203552246,1024.1400146484375,8369.599609375
1998-02-13,23.932546615600586,1020.0900268554688,8370.099609375
1998-02-17,23.526321411132812,1022.760009765625,8398.5
1998-02-18,23.8442440032959,1032.0799560546875,8451.0595703125
1998-02-19,23.314359664916992,1028.280029296875,8375.580078125
1998-02-20,23.561634063720703,1034.2099609375,8413.9404296875
1998-02-23,23.649944305419922,1038.1400146484375,8410.2001953125
1998-02-24,23.43798828125,1030.56005859375,8370.099609375
1998-02-25,23.579294204711914,1042.9000244140625,8457.7802734375
1998-02-26,23.59696388244629,1048.6700439453125,8490.669921875
1998-02-27,23.985538482666016,1049.3399658203125,8545.7197265625
1998-03-02,23.314359664916992,1047.699951171875,8550.4501953125
1998-03-03,23.243722915649414,1052.02001953125,8584.830078125
1998-03-04,23.208389282226562,1047.3299560546875,8539.240234375
1998-03-05,22.802152633666992,1035.050048828125,8444.330078125
1998-03-06,23.63228416442871,1055.68994140625,8569.3896484375
1998-03-09,24.091514587402344,1052.31005859375,8567.1396484375
1998-03-10,24.321128845214844,1064.25,8643.1201171875
1998-03-11,24.462421417236328,1068.469970703125,8675.75
1998-03-12,23.791240692138672,1069.9200439453125,8659.5595703125
1998-03-13,23.296709060668945,1068.6099853515625,8602.51953125
1998-03-16,23.22605323791504,1079.27001953125,8718.849609375
