Date,PG,TSLA
2012-01-03,51.26155090332031,28.079999923706055
2012-01-04,51.23853302001953,27.709999084472656
2012-01-05,51.023746490478516,27.1200008392334
2012-01-06,50.90101623535156,26.90999984741211
2012-01-09,51.115806579589844,27.25
2012-01-10,50.878013610839844,27.6200008392334
2012-01-11,50.379432678222656,28.229999542236328
2012-01-12,50.479156494140625,28.25
2012-01-13,50.479156494140625,22.790000915527344
2012-01-17,50.82432556152344,26.600000381469727
2012-01-18,51.05240249633789,26.809999465942383
2012-01-19,51.0910758972168,26.760000228881836
2012-01-20,51.2070426940918,26.600000381469727
2012-01-23,50.256038665771484,26.770000457763672
2012-01-24,49.86945343017578,27.420000076293945
2012-01-25,50.2405891418457,27.969999313354492
2012-01-26,50.101409912109375,28.940000534057617
2012-01-27,49.7148323059082,29.329999923706055
2012-01-30,48.87206268310547,29.56999969482422
2012-01-31,48.740623474121094,29.06999969482422
2012-02-01,48.87206268310547,29.579999923706055
2012-02-02,48.95711135864258,30.25
2012-02-03,48.53187942504883,31.149999618530273
2012-02-06,49.10401916503906,31.799999237060547
2012-02-07,49.25091552734375,31.600000381469727
2012-02-08,49.204524993896484,31.93000030517578
2012-02-09,49.51380157470703,32.58000183105469
2012-02-10,49.39009094238281,31.100000381469727
2012-02-13,49.660701751708984,31.489999771118164
2012-02-14,49.85399627685547,33.16999816894531
2012-02-15,49.90811538696289,33.599998474121094
2012-02-16,50.41066360473633,34.18000030517578
2012-02-17,50.18644714355469,34.970001220703125
2012-02-21,49.80759811401367,34.5
2012-02-22,49.82307052612305,34.220001220703125
2012-02-23,51.35395431518555,34.529998779296875
2012-02-24,51.578147888183594,33.75
2012-02-27,51.57042694091797,33.619998931884766
2012-02-28,52.103904724121094,33.810001373291016
2012-02-29,52.2817497253418,33.40999984741211
2012-03-01,51.53950500488281,34.40999984741211
2012-03-02,51.54723358154297,34.040000915527344
2012-03-05,51.76371765136719,33.77000045776367
2012-03-06,51.67866516113281,33.11000061035156
2012-03-07,51.47765350341797,33.119998931884766
2012-03-08,51.725067138671875,33.06999969482422
2012-03-09,51.74825668334961,34.7400016784668
2012-03-12,52.3513298034668,36.0099983215332
2012-03-13,52.498233795166016,36.09000015258789
2012-03-14,52.459564208984375,35.290000915527344
2012-03-15,52.32814025878906,35.0
2012-03-16,51.99567794799805,35.31999969482422
2012-03-19,51.96474075317383,34.97999954223633
2012-03-20,51.96474075317383,34.959999084472656
2012-03-21,51.95701217651367,35.150001525878906
2012-03-22,52.20442199707031,34.400001525878906
2012-03-23,52.13483810424805,34.08000183105469
2012-03-26,52.15804672241211,37.400001525878906
2012-03-27,51.918357849121094,37.939998626708984
2012-03-28,51.949283599853516,37.849998474121094
2012-03-29,51.81011199951172,37.33000183105469
2012-03-30,51.96474075317383,37.2400016784668
2012-04-02,52.235347747802734,36.58000183105469
2012-04-03,51.87197494506836,38.0099983215332
2012-04-04,52.00340270996094,35.0
2012-04-05,52.04205322265625,34.47999954223633
2012-04-09,51.65547561645508,33.150001525878906
2012-04-10,51.29983139038086,32.459999084472656
2012-04-11,51.36940383911133,33.09000015258789
2012-04-12,51.098785400390625,33.439998626708984
2012-04-13,50.88230895996094,33.59000015258789
2012-04-16,51.63227081298828,32.25
2012-04-17,51.81783676147461,32.2400016784668
2012-04-18,51.60908508300781,32.65999984741211
2012-04-19,51.469913482666016,33.15999984741211
2012-04-20,52.19670867919922,33.15999984741211
2012-04-23,51.531776428222656,31.940000534057617
2012-04-24,51.80237579345703,31.81999969482422
2012-04-25,52.15480422973633,32.90999984741211
2012-04-26,52.139217376708984,33.4900016784668
2012-04-27,50.24453353881836,33.34000015258789
2012-04-30,49.62074279785156,33.130001068115234
2012-05-01,49.56616973876953,33.779998779296875
2012-05-02,49.88584518432617,33.939998626708984
2012-05-03,50.29909896850586,32.459999084472656
2012-05-04,50.1197624206543,31.829999923706055
2012-05-07,50.09637451171875,32.470001220703125
2012-05-08,50.026206970214844,30.190000534057617
2012-05-09,49.644134521484375,30.059999465942383
2012-05-10,50.01060485839844,32.959999084472656
2012-05-11,49.65193557739258,32.25
2012-05-14,49.573970794677734,30.059999465942383
2012-05-15,49.68313217163086,29.43000030517578
2012-05-16,50.1275520324707,29.18000030517578
2012-05-17,49.8702507019043,28.56999969482422
2012-05-18,49.52718734741211,27.559999465942383
2012-05-21,49.42583084106445,28.770000457763672
2012-05-22,49.23869323730469,30.799999237060547
2012-05-23,48.646121978759766,31.020000457763672
2012-05-24,48.78645706176758,30.280000686645508
2012-05-25,48.724090576171875,29.809999465942383
2012-05-29,49.08275604248047,31.690000534057617
2012-05-30,48.59153366088867,30.40999984741211
2012-05-31,48.568145751953125,29.5
2012-06-01,47.99114227294922,28.149999618530273
2012-06-04,47.87420654296875,27.8799991607666
2012-06-05,47.69485855102539,27.90999984741211
2012-06-06,48.18607711791992,29.219999313354492
2012-06-07,48.93460464477539,28.93000030517578
2012-06-08,48.92681121826172,30.079999923706055
2012-06-11,48.763057708740234,29.1200008392334
2012-06-12,48.93460464477539,29.65999984741211
2012-06-13,48.78645706176758,29.770000457763672
2012-06-14,49.2620735168457,29.389999389648438
2012-06-15,49.028167724609375,29.90999984741211
2012-06-18,48.568145751953125,31.84000015258789
2012-06-19,48.50576400756836,32.09000015258789
2012-06-20,47.08668518066406,33.779998779296875
2012-06-21,46.58767318725586,32.189998626708984
2012-06-22,46.65005111694336,33.790000915527344
2012-06-25,46.244606018066406,33.11000061035156
2012-06-26,46.21342086791992,31.610000610351562
2012-06-27,46.76702117919922,31.959999084472656
